0,1,2,3,4
49.0,0.0,69.31192660550458,0.0,0.0
34.00000000000001,0.0,65.34862385321101,0.0,0.0
35.00000000000001,0.0,75.25688073394497,1.0,0.0
56.0,0.0,75.25688073394497,2.0,0.0
58.0,0.0,71.29357798165138,12.0,0.0
56.0,0.0,69.31192660550458,43.0,0.0
47.0,0.0,69.31192660550458,7.0,0.0
41.0,0.0,60.39449541284404,0.0,0.0
38.0,0.0,66.33944954128441,0.0,0.0
47.0,0.0,80.21100917431193,0.0,0.0
52.0,0.0,75.25688073394497,7.0,0.0
41.0,0.0,71.29357798165138,0.0,0.0
38.0,0.0,67.33027522935781,0.0,0.0
41.0,0.0,66.33944954128441,0.0,0.0
41.999999999999986,0.0,66.33944954128441,0.0,0.0
41.0,0.0,71.29357798165138,0.0,0.0
39.0,0.0,73.27522935779817,0.0,0.0
49.0,0.0,75.25688073394497,0.0,0.0
51.0,0.0,73.27522935779817,2.0,0.0
55.0,0.0,77.23853211009174,0.0,0.0
56.0,0.0,73.27522935779817,48.0,0.0
52.0,0.0,74.26605504587157,1.0,0.0
48.0,0.0,69.31192660550458,0.0,0.0
49.0,0.0,74.26605504587157,0.0,0.0
40.0,0.0,79.22018348623854,0.0,0.0
51.0,0.0,81.20183486238533,0.0,0.0
46.0,0.0,84.17431192660551,0.0,0.0
49.0,0.0,88.13761467889908,0.0,0.0
49.0,0.0,89.12844036697247,0.0,0.0
54.0,0.0,92.10091743119267,0.0,0.0
56.0,0.0,89.12844036697247,0.0,0.0
63.0,0.0,91.11009174311928,2.0,0.0
52.0,0.0,92.10091743119267,0.0,0.0
54.0,0.0,90.11926605504587,0.0,0.0
60.0,0.0,92.10091743119267,0.0,0.0
63.0,0.0,91.11009174311928,0.0,0.0
62.0,0.0,84.17431192660551,57.0,0.0
46.0,0.0,79.22018348623854,0.0,0.0
56.0,0.0,88.13761467889908,0.0,0.0
63.0,0.0,83.18348623853213,58.0,0.0
54.0,0.0,76.24770642201835,0.0,0.0
57.0,0.0,72.28440366972478,0.0,0.0
60.0,0.0,81.20183486238533,0.0,0.0
52.0,0.0,83.18348623853213,0.0,0.0
55.0,0.0,76.24770642201835,13.0,0.0
66.0,0.0,77.23853211009174,92.0,0.0
54.0,0.0,85.1651376146789,0.0,0.0
60.0,0.0,88.13761467889908,0.0,0.0
66.0,0.0,83.18348623853213,0.0,0.0
56.0,0.0,84.17431192660551,0.0,0.0
52.0,0.0,80.21100917431193,30.0,0.0
49.64759320020676,0.0,76.24770642201835,27.0,0.0
51.0,0.0,80.21100917431193,26.0,0.0
51.0,0.0,79.22018348623854,0.0,0.0
54.0,0.0,81.20183486238533,0.0,0.0
52.0,0.0,84.17431192660551,0.0,0.0
53.0,0.0,86.1559633027523,0.0,0.0
52.0,0.0,87.1467889908257,8.0,0.0
54.0,0.0,84.17431192660551,1.0,0.0
53.0,0.0,83.18348623853213,0.0,0.0
62.0,0.0,90.11926605504587,0.0,0.0
65.0,0.0,92.10091743119267,0.0,0.0
56.0,0.0,86.1559633027523,0.0,0.0
50.0,0.0,82.19266055045873,0.0,0.0
49.64759320020676,0.0,92.10091743119267,0.0,0.0
66.0,0.0,93.09174311926606,0.0,0.0
60.0,0.0,82.19266055045873,8.0,0.0
52.0,0.0,79.22018348623854,1.0,0.0
53.20194435119629,0.0,85.1651376146789,0.0,0.0
46.0882453918457,0.0,87.1467889908257,0.0,0.0
47.15827053785324,0.0,88.13761467889908,0.0,0.0
40.819799959659576,0.0,84.17431192660551,130.0,0.0
41.773950815200806,0.0,79.22018348623854,4.0,0.0
66.0,0.0,87.1467889908257,28.0,0.0
69.0,0.0,85.1651376146789,0.0,0.0
61.0,0.0,86.1559633027523,0.0,0.0
61.0,0.0,86.1559633027523,1.0,0.0
63.0,0.0,88.13761467889908,0.0,0.0
62.0,0.0,87.1467889908257,0.0,0.0
65.0,0.0,82.19266055045873,41.0,0.0
57.0,0.0,83.18348623853213,0.0,0.0
62.0,0.0,81.20183486238533,2.0,0.0
53.0,0.0,78.22935779816514,0.0,0.0
51.0,0.0,76.24770642201835,0.0,0.0
41.999999999999986,0.0,78.22935779816514,0.0,0.0
45.0,0.0,82.19266055045873,0.0,0.0
46.0,0.0,82.19266055045873,1.0,0.0
57.0,0.0,73.27522935779817,1.0,0.0
52.0,0.0,71.29357798165138,18.0,0.0
45.0,0.0,77.23853211009174,0.0,0.0
47.0,0.0,84.17431192660551,0.0,0.0
48.0,0.0,85.1651376146789,0.0,0.0
57.0,0.0,85.1651376146789,0.0,0.0
63.0,0.0,88.13761467889908,0.0,0.0
62.0,0.0,85.1651376146789,18.0,0.0
58.0,0.0,83.18348623853213,0.0,0.0
56.0,0.0,76.24770642201835,0.0,0.0
47.0,0.0,78.22935779816514,0.0,0.0
41.999999999999986,0.0,82.19266055045873,0.0,0.0
45.0,0.0,85.1651376146789,0.0,0.0
45.0,0.0,86.1559633027523,0.0,0.0
51.0,0.0,86.1559633027523,0.0,0.0
50.0,0.0,87.1467889908257,0.0,0.0
56.0,0.0,88.13761467889908,0.0,0.0
59.0,0.0,89.12844036697247,0.0,0.0
59.0,0.0,85.1651376146789,0.0,0.0
60.0,0.0,86.1559633027523,0.0,0.0
